request,response,intent_class
"['usaha', 'apa', 'ini']","['pt', 'zenithera', 'kreasi', 'adalah', 'startup', 'riset', 'dan', 'konsultasi', 'yang', 'fokus', 'pada', 'data', 'dan', 'teknologi', 'luas', 'diri', 'bagai', 'zenith', 'pada', 'tahun', '2023', 'kami', 'milik', 'beberapa', 'layan', 'business-to-business', '', 'b2b', '', 'business', 'to', 'government', '', 'b2g', '', 'di', 'bidang', '', 'business', 'dan', 'data']",perusahaan
['hallo'],"['hi', 'tuan']",salam
['hi'],"['iya', 'ada', 'apa']",salam
"['hi', 'buddy']","['tanya', 'apa']",salam
"['saya', 'mau', 'tanya']","['bisa', 'saya', 'bantu']",salam
"['jelas', 'produk']","['kami', 'milik', 'produk', 'tentang', 'data', 'business', 'dan', 'it']",produk
"['aku', 'ingin', 'tau', 'product', 'yang', 'ada']","['kami', 'bisa', 'selesai', 'masalah', 'anda', 'dengan', 'data']",produk
"['bingung', 'nih']","['bagi', 'mana', 'yang', 'masih', 'bingung']",bingung
"['masih', 'belum', 'erti']","['apa', 'yang', 'perlu', 'jelas']",bingung
"['belum', 'paham']","['apa', 'yang', 'anda', 'bingung']",bingung
"['kurang', 'jelas']","['saya', 'akan', 'bantu', 'anda', 'agar', 'lebih', 'paham']",bingung
"['jasa', 'apa', 'aja', 'yang', 'ada', 'sini']","['kami', 'jual', 'produk', 'layan', 'data', 'business', 'dan', 'it']",produk2
"['jelas', 'produk', 'data']","['kami', 'jual', 'jasa', 'data', 'entry', '', 'database', 'administration', 'data', 'analytics', 'data', 'engineering', 'dan', 'machine', 'learning', '', 'artificial', 'intelligence']",data
"['jelas', 'produk', 'business']","['kami', 'jual', 'jasa', 'solving', 'business', 'tentang', 'corporate', 'business', 'strategy', 'environment', 'organization', 'and', 'people', 'strategy', 'dan', 'customer', 'insight', 'analysis']",business
"['apakah', 'sini', 'dapat', 'buat', 'website', 'atau', 'software']","['kami', 'dapat', 'buat', 'website', 'untuk', 'anda']",IT
"['saya', 'mau', 'buat', 'website']","['kami', 'dapat', 'buat', 'software', 'untuk', 'anda']",IT
